"ALCMAN","","","","","","","ἐν τῷ εʹ","","fr. 76","10","10.416d","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 16","15","15.681a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 20","3","3.114f","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 20","14","14.646a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr.25","9","9.390a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 26,4","9","9.374d","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 28","9","9.373e","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 34","11","11.498f","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 36 ἔν τινι τῶν μελῶν","13","13.600f","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 37","13","13.601a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 39","15","15.682a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 67","9","9.374d","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 70","4","4.140c","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 71","4","4.140c","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 75","14","14.648b","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 90","3","3.81f","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 91","14","14.637a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 100","2","2.39a","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 112","14","14.624b","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 117","1","1.31c","","",""
"ALCMAN","","","","","","sedis incertae","","","fr. 143","3","3.81d","","",""
"ALCMAN","","","","","","ᾄσματα","","","","15","15.678c","","",""
"ALCMAN","","","","","","Alcmanis fortasse carmen","","","c. pop. 3","14","14.636d","","",""
"ALEXAMENVS","ὁ Τήιος","","","","","Διάλογοι","","","","11","11.505b","","cf. adn.","range start"
"ALEXAMENVS","ὁ Τήιος","","","","","Διάλογοι","","","","11","11.505c","","cf. adn.","range end"
"ALEXANDER MAGNVS","","","","","","Ἀγὴν σατυρικός","","","","","","","v. ΡΥΤH0",""
"ALEXANDER MAGNVS","","","","","","ἐν ταῖς Ἐπιστολαῖς ταῖς πρὸς τοὺς ἐν Ἀσίᾳ σατράπας","","","","11","11.784a","","cf. adn.","range start"
"ALEXANDER MAGNVS","","","","","","ἐν ταῖς Ἐπιστολαῖς ταῖς πρὸς τοὺς ἐν Ἀσίᾳ σατράπας","","","","11","11.784b","","cf. adn.","range end"
"ALEXANDER MAGNVS","","","","","","ἐν ταῖς Ἐπιστολαῖς ταῖς πρὸς τοὺς ἐν Ἀσίᾳ σατράπας","ἐν τῇ πρὸς Φιλόξενον Ἐπιστολῇ","","","1","1.22d","","",""
